time,amplitude
0.0,4.212144023159538
0.004,3.2821621544172856
0.008,4.987718282523776
0.012,3.956274053445436
0.016,4.029941230576052
0.02,4.37146078011068
0.024,5.964036337641633
0.028,4.375343618025958
0.032,3.5210112499376804
0.036,5.29117993217247
0.04,5.615030479651924
0.044,5.090194835681036
0.048,6.09981853557284
0.052,5.507143890868994
0.056,4.6135915808564025
0.06,4.3670548321875495
0.064,6.046587791071195
0.068,4.099922353252653
0.072,6.431538218978908
0.076,5.5557177471874715
0.08,6.065499453026163
0.084,6.881151634363346
0.088,6.996136455020549
0.092,3.9807688498530114
0.096,4.648953840926425
0.1,5.496743175730243
0.104,2.0928546066169336
0.108,4.204558449009916
0.112,5.037899947466426
0.116,6.694012108651668
0.12,5.167043557414981
0.124,5.117884980737217
0.128,5.2411737126435485
0.132,4.696735204441917
0.136,5.195151089949623
0.14,4.676579366813497
0.144,5.261531433047358
0.148,5.763645829971109
0.152,4.272871200499435
0.156,3.8831269494978304
0.16,4.665377126465714
0.164,7.3900316598879225
0.168,4.014694530265126
0.172,6.340594409603629
0.176,6.206064686881806
0.18,3.6475276560509715
0.184,6.513589861426381
0.188,3.7137531014587033
0.192,7.077876190929251
0.196,6.98801720243962
0.2,5.61124324038945
0.204,4.738722282110082
0.208,4.623326499788332
0.212,5.502536394584769
0.216,7.341764447205856
0.22,5.003558019613247
0.224,3.959172244747733
0.228,3.549153027857445
0.232,6.091536598524002
0.236,5.838899645273045
0.24,4.860854819136365
0.244,6.565623680347653
0.248,7.215211253553557
0.252,4.926456471821027
0.256,3.9828281664763407
0.26,5.532790644978791
0.264,6.487057768532073
0.268,4.579532078568638
0.272,3.17094966480731
0.276,4.224162479225227
0.28,4.43998619089395
0.284,5.260618219934578
0.288,3.7252978081907835
0.292,4.599112749245655
0.296,3.803365515468749
0.3,4.914297209487023
0.304,6.366829108880454
0.308,3.973150942275972
0.312,3.70767991831544
0.316,6.242832313376431
0.32,4.568389011114037
0.324,6.692745452790858
0.328,4.695843175419424
0.332,5.346317385608503
0.336,5.614982029435634
0.34,5.337300588986214
