time,amplitude
0.0,6.6761377387518674
0.004,5.223923385278365
0.008,5.890367976364104
0.012,5.530789756075558
0.016,5.308078134322182
0.02,5.864008895935173
0.024,5.102416909779119
0.028,4.906158262745441
0.032,2.855243243052516
0.036,6.055917573229427
0.04,5.453105196922643
0.044,6.185695010728822
0.048,6.883815752120289
0.052,4.20997245053736
0.056,4.454308462383792
0.06,5.415673940139672
0.064,4.55861277640731
0.068,5.613802611962647
0.072,6.557592295848518
0.076,4.134987672993977
0.08,5.737477904170604
0.084,5.813678541725835
0.088,5.636085739483968
0.092,5.8922974075224674
0.096,5.026737215570548
0.1,4.987747756055194
0.104,6.3244334823759845
0.108,4.2740508423910155
0.112,4.254209545827096
0.116,4.414659414524075
0.12,5.941526362233352
0.124,2.6107754268751076
0.128,4.444243875701399
0.132,4.210940425956568
0.136,6.3724790944059855
0.14,3.9049849308975193
0.144,3.4083642598086814
0.148,5.32568193266505
0.152,5.862168182225515
0.156,7.600895093421825
0.16,7.402593705411977
0.164,6.66984410566528
0.168,5.1766952784866325
0.172,5.507879025968523
0.176,6.155432781866212
0.18,3.6125371719221153
0.184,4.943560542774246
0.188,5.608658753738072
0.192,6.322099313729759
0.196,6.165956430857481
0.2,6.14773657764464
0.204,4.24457983765188
0.208,4.394648049898107
0.212,7.606079696785189
0.216,5.498266057863467
0.22,5.661530983862154
0.224,7.379197733041
0.228,3.0074834068621126
0.232,3.959877244852282
0.236,4.540473214708695
0.24,6.0795347947082305
0.244,2.980707581741821
0.248,4.5762804894386795
0.252,3.7287693861830657
0.256,4.477676738596163
0.26,5.055441988945677
0.264,3.562367942876527
0.268,5.020394165069755
0.272,3.936106861814568
0.276,4.26638695746995
0.28,5.271593152562187
0.284,5.347021643679245
0.288,6.728201154556701
0.292,4.138849235300112
0.296,3.8279215130362028
0.3,3.842615849157424
0.304,3.6567531946004728
0.308,6.040084433457755
0.312,3.758917701410025
0.316,7.065926504381915
0.32,3.9832782083685014
0.324,4.119358177682168
0.328,4.301599048722547
0.332,6.418658610536775
0.336,6.676151444611061
0.34,3.858381818179453
0.344,4.803879545298372
0.348,4.829774531287807
0.352,5.966194663802073
0.356,4.804404663477179
0.36,4.98032574527535
0.364,5.03016661096216
0.368,4.125483234188721
0.372,5.64443623337654
0.376,5.547432536893436
0.38,4.342767629183339
0.384,3.3275639923707048
0.388,5.390452928788032
0.392,6.321943113432794
0.396,2.1696386200145583
0.4,5.4502502832824025
0.404,4.591391308191926
0.408,5.99991828458854
0.412,3.0162642166598834
0.416,4.539747822397062
0.42,5.32328247447642
0.424,3.601864345620851
0.428,4.194671135323112
0.432,4.550588222784618
0.436,4.280176387708451
0.44,5.497623845119412
0.444,5.632052785077846
0.448,6.916088132629515
0.452,4.033218678530071
0.456,4.579864227562697
0.46,6.390581696978018
0.464,4.454807650204496
0.468,3.0176847327331005
0.472,5.666161294022251
0.476,4.757326660273967
0.48,4.4011266002454885
0.484,5.528729774537083
0.488,3.297311016774195
0.492,5.57957113539319
0.496,3.870020386604147
0.5,4.977245542556441
0.504,4.731040335507688
0.508,7.406575895944188
0.512,4.966010705277954
0.516,4.861861812221407
0.52,3.9837656571360864
0.524,4.771264245005221
0.528,3.963881531864838
0.532,3.9582342127191597
0.536,5.89497143937414
0.54,5.663903370759369
0.544,5.450819708509947
0.548,5.078625134651043
0.552,5.052993602351404
0.556,6.192993594998173
0.56,3.099582624267451
0.564,4.524912956435612
0.568,5.369845503320469
0.572,5.647645819987536
0.576,6.788923477919937
0.58,4.080117481214284
0.584,4.743258481473681
0.588,5.6765852519023
0.592,2.543062856135877
0.596,3.7825771417428884
0.6,5.994476748412671
0.604,4.567713514998308
0.608,5.257841887291199
0.612,5.7120945039029145
0.616,5.670845253147656
0.62,4.2639988297853195
0.624,4.088600616525596
0.628,6.594015723196285
0.632,6.5009777898452255
0.636,4.910587667104135
0.64,3.685114955465987
0.644,6.079299595659757
0.648,3.8933679324813735
0.652,5.258489781830076
0.656,3.689707244475393
0.66,4.899384529251911
0.664,4.968604858254164
0.668,4.712680170478398
0.672,4.388031324869098
0.676,5.849640362924233
0.68,5.075817034457644
0.684,3.5723503162133348
0.688,4.222117658916766
0.692,4.450500944465494
0.696,2.2038063870715283
0.7,3.053589500290195
0.704,3.7599561419589977
0.708,5.970917890836364
0.712,4.3697626581773505
0.716,3.964865603454795
0.72,4.834486672594409
0.724,4.877485859537481
0.728,4.703205749711788
0.732,4.542225793520065
0.736,4.4753432207854695
0.74,4.463248842020859
0.744,5.940029078846019
0.748,5.637870366949863
0.752,5.329636786757565
0.756,5.42509060968505
0.76,4.915916105006527
0.764,4.581308980556563
0.768,7.0072073007575275
0.772,3.5132099410640727
0.776,5.049131567411225
0.78,5.267724771964463
0.784,4.240184811125616
0.788,5.314199381583706
0.792,7.249855713689847
0.796,6.870830008411245
0.8,4.53308466956152
0.804,4.021726838745752
0.808,4.040117703230063
0.812,5.646475719062128
0.816,4.843389600658939
0.82,3.092133578199217
0.824,3.663484570263466
0.828,3.4331062009935467
0.832,5.171441457426935
0.836,5.33879689834072
0.84,4.887147713853283
0.844,6.765437639832922
0.848,4.825967342232739
0.852,5.3973346974874605
0.856,3.5029488582394697
0.86,6.633816035859249
0.864,6.083063144658871
0.868,5.813935043041864
0.872,6.58551599516903
0.876,5.906877538774613
0.88,5.49837554961715
0.884,5.153205018627742
0.888,4.555184146195785
0.892,2.3637033313149622
0.896,3.968159722830802
0.9,6.349133720113915
0.904,6.638354736318297
0.908,4.916283354583598
0.912,4.9140666653585905
0.916,4.4277951517347365
0.92,5.175674949728209
0.924,5.446345285472955
0.928,2.7648309055092013
0.932,4.855517391848046
0.936,5.826452606104802
0.94,4.258198431943415
0.944,3.786601991420408
0.948,5.4637743701240185
0.952,4.9006308014369875
0.956,6.303279858179625
0.96,5.108174357085631
0.964,4.949880688041853
0.968,3.78859007492925
0.972,4.114682726468834
0.976,4.816881073699579
0.98,6.134346898383532
0.984,5.463400324809251
0.988,4.839062307101805
0.992,3.1197227000739103
0.996,4.90687061068624
1.0,11.3883282517714
1.004,10.348481815170897
1.008,8.193052557720396
1.012,11.173408271192276
1.016,9.422489508976472
1.02,9.331197965816731
1.024,9.46517746259692
1.028,10.247633742022053
1.032,9.955982588158127
1.036,10.863157017276393
1.04,9.632425033333073
1.044,9.49530303081361
1.048,9.28632933565324
1.052,10.389720184923105
1.056,9.671430499129094
1.06,9.15969036716367
1.064,10.314904642359787
1.068,10.889598751507096
1.072,12.130999843301002
1.076,9.696849925295998
1.08,9.541243447803701
1.084,8.605621543497982
1.088,10.089061006972605
1.092,9.77608847475565
1.096,10.866501743429525
1.1,9.419296167808488
1.104,8.385182451831884
1.108,8.627656330430439
1.112,10.89409372994391
1.116,10.349914775663771
1.12,10.28487914687881
1.124,9.733097356579103
1.128,10.50238840537519
1.132,10.169204637291239
1.136,9.740631426014776
1.14,9.911759376849215
1.144,10.168970412513717
1.148,9.022108557448927
1.152,10.954110279770378
1.156,9.57378340381598
1.16,8.402913083030887
1.164,8.92635068349034
1.168,10.52698403636029
1.172,9.967764258899052
1.176,7.91121223782459
1.18,10.062425414866851
1.184,10.817722170258167
1.188,10.369226727483635
1.192,8.26552894035883
1.196,9.75605801041121
1.2,9.525944276374329
1.204,9.023380816302765
1.208,10.55922978060268
1.212,11.3910806251021
1.216,9.75165544095269
1.22,8.22894622661736
1.224,10.44107457607968
1.228,10.842908268235487
1.232,8.55977319163174
1.236,7.864339729289442
1.24,11.175970725629295
1.244,10.1507894596356
1.248,9.154537733811125
1.252,9.442578629065075
1.256,9.367553213213355
1.26,8.880548756684727
1.264,9.723753905513922
1.268,10.310882379736473
1.272,10.02150566149549
1.276,9.4196807925122
1.28,9.433523360781576
1.284,8.167120768534947
1.288,9.535344509453225
1.292,10.79075180313696
1.296,8.629359052057556
1.3,9.799076638015203
1.304,10.510820604143264
1.308,9.863143528291932
1.312,12.106438492759374
1.316,10.478214990561892
1.32,11.529908226172797
1.324,9.119391036186508
1.328,10.570659317978757
1.332,9.290006411348918
1.336,10.743387590714391
1.34,9.819309150173616
1.344,7.758855856649886
1.348,10.424761177184513
1.352,8.051687610706454
1.356,10.522653107306168
1.36,9.87363379477807
1.364,10.030087471655943
1.368,10.584157216064497
1.372,8.816959999268903
1.376,9.777233368937528
1.38,11.335304425354735
1.384,11.888692775443502
1.388,10.632211757655327
1.392,12.913364666002106
1.396,10.862616303429467
1.4,9.650135842049805
1.404,9.276426360452396
1.408,10.147053655329916
1.412,10.632530591274111
1.416,9.60265691933771
1.42,9.235987622368992
1.424,9.78719659737235
1.428,8.817660420817358
1.432,10.160784594272963
1.436,10.71168388606157
1.44,9.813262901007308
1.444,9.164971528173462
1.448,7.538516648043235
1.452,9.771763416998896
1.456,8.94701213533951
1.46,8.973110531597703
1.464,9.981496042307507
1.468,10.162639326970046
1.472,10.417369605117038
1.476,10.033551334867273
1.48,9.072198761904382
1.484,10.084655863631731
1.488,10.392874685696194
1.492,9.715210890574598
1.496,11.85836057683882
1.5,9.699268641777067
1.504,10.325988937242556
1.508,9.397186894610144
1.512,8.452375194033486
1.516,9.889243297826075
1.52,9.3057103565863
1.524,9.729973737886892
1.528,10.46310736521131
1.532,10.239407076135047
1.536,11.212704957357452
1.54,9.551945031584989
1.544,9.691267866056837
1.548,10.09591789731045
1.552,11.726108426611555
1.556,10.040135858785362
1.56,9.858396278943305
1.564,9.48360216996856
1.568,11.30034417964871
1.572,7.030916942498422
1.576,11.349829245217897
1.58,10.282345128460697
1.584,10.831768518643823
1.588,11.066920259276154
1.592,10.109929734189969
1.596,11.737395590688845
1.6,9.976606420053276
1.604,10.61279354605464
1.608,10.127644022839934
1.612,8.50923748817802
1.616,10.57272130426814
1.62,8.487241865526943
1.624,9.74471659596378
1.628,11.109400803712361
1.632,9.937486498481004
1.636,11.305884484771518
1.64,10.598506908739404
1.644,9.109379857611287
1.648,10.812402876889399
1.652,9.468160895423956
1.656,11.848092601374667
1.66,10.033079417213925
1.664,10.228864696713345
1.668,8.85156524219097
1.672,10.182431790057922
1.676,9.409404844118626
1.68,8.256553458093942
1.684,8.19470869568584
1.688,9.228261585405368
1.692,11.177399312261166
1.696,9.891166960006512
1.7,10.717582186283728
1.704,10.07043107405188
1.708,8.234125131867648
1.712,10.326585028165098
1.716,11.803627296334126
1.72,9.297427368040639
1.724,10.262938753767138
1.728,10.928060228518385
1.732,9.169041184911705
1.736,9.426571254614615
1.74,8.745255993315
1.744,10.607153498723264
1.748,10.732808844686756
1.752,9.138735807715753
1.756,7.506360191391831
1.76,8.731347097104027
1.764,10.414604326742854
1.768,8.784716807076114
1.772,9.212466788085111
1.776,11.985507696327335
1.78,8.525331154859071
1.784,8.391360637632634
1.788,11.488739514320738
1.792,8.57712934683061
1.796,10.763302064732674
1.8,10.589042598027696
1.804,10.548973382059625
1.808,9.281883164826908
1.812,13.21817262489309
1.816,10.056595150995113
